time,callstack,stack,total
0.026702582999999613,20,9,29
0.02879524999999994,20,9,29
0.037562250000000574,20,9,29
0.032560292000000324,20,9,29
0.026851874999999303,20,9,29
0.04603816700000074,20,9,29
0.04368904199999957,20,9,29
0.02598554199999903,20,9,29
0.03229175000000062,20,9,29
0.030464832999999913,20,9,29
0.04659195800000049,20,9,29
0.12001799999999996,20,9,29
0.026758792000000753,20,9,29
0.04284204200000019,20,9,29
0.03755320800000028,20,9,29
0.04351358400000116,20,9,29
0.029233874999999188,20,9,29
0.028046332999998924,20,9,29
0.026259917000000854,20,9,29
0.030028082999997707,20,9,29
0.030295209000001933,20,9,29
0.06421229200000056,20,9,29
0.027331291000002977,20,9,29
0.0308876660000017,20,9,29
0.02551137500000067,20,9,29
0.27268316599999665,20,9,29
0.043360291999999134,20,9,29
0.028274084000003086,20,9,29
0.027277458000000365,20,9,29
0.04978108299999917,20,9,29
