time,callstack,stack,total_bytes
0.0740860409999975,132,65,13214
0.07694683300000094,132,65,13214
0.16796141699999723,132,65,13214
0.1258556249999998,132,65,13214
0.07513050000000021,132,65,13214
0.10155200000000164,132,65,13214
0.0780843339999997,132,65,13214
0.0830111250000023,132,65,13214
0.11702512499999784,132,65,13214
0.07127320899999745,132,65,13214
0.07755804199999972,132,65,13214
0.11843266600000035,132,65,13214
0.17233095799999987,132,65,13214
0.18214979099999695,132,65,13214
0.10224587500000126,132,65,13214
0.08617462500000173,132,65,13214
0.18677004199999914,132,65,13214
0.07867087500000025,132,65,13214
0.09024379200000254,132,65,13214
0.19624641599999748,132,65,13214
0.10984083399999989,132,65,13214
0.07475691599999834,132,65,13214
0.08577391600000084,132,65,13214
0.07474283300000195,132,65,13214
0.07587295799999794,132,65,13214
0.0745253340000005,132,65,13214
0.10449695899999512,132,65,13214
0.08698579100000359,132,65,13214
0.09383350000000235,132,65,13214
0.07276674999999955,132,65,13214
