time,callstack,stack,total
0.021560166000000436,6,2,8
0.043228707999999116,6,2,8
0.03332758399999847,6,2,8
0.030160833000000054,6,2,8
0.02406649999999999,6,2,8
0.05977162499999977,6,2,8
0.025311458000000897,6,2,8
0.0363011249999996,6,2,8
0.030228292000000323,6,2,8
0.027205625000000566,6,2,8
0.05155295900000212,6,2,8
0.0213732499999999,6,2,8
0.035342750000001644,6,2,8
0.025000416000001024,6,2,8
0.020197249999998945,6,2,8
0.034996583999998165,6,2,8
0.018899957999998662,6,2,8
0.03196970799999832,6,2,8
0.019359582999999958,6,2,8
0.019953166999997052,6,2,8
0.02161708299999887,6,2,8
0.020050666999999578,6,2,8
0.03963116699999958,6,2,8
0.03505287500000165,6,2,8
0.05495608300000043,6,2,8
0.0258337080000004,6,2,8
0.02387766600000063,6,2,8
0.01964095900000018,6,2,8
0.03298358400000012,6,2,8
0.02265174999999786,6,2,8
