time,callstack,stack,total
0.30774629199999026,516,257,773
0.5558233339999958,516,257,773
0.2683367500000031,516,257,773
0.2566956250000061,516,257,773
0.28997358399999484,516,257,773
0.5197261670000017,516,257,773
0.26052208400000154,516,257,773
0.25461412500000336,516,257,773
0.2693969999999979,516,257,773
6.2024075839999995,516,257,773
3.400935207999993,516,257,773
2.0529905420000034,516,257,773
0.28974958300000253,516,257,773
0.2827584999999999,516,257,773
0.2643145000000011,516,257,773
0.2608915420000031,516,257,773
1.4940550829999992,516,257,773
1.076410874999997,516,257,773
0.2848185409999999,516,257,773
0.9731206669999999,516,257,773
0.36950587500000154,516,257,773
0.2671374170000007,516,257,773
0.34823045799999974,516,257,773
0.4346986659999956,516,257,773
0.2557034589999958,516,257,773
0.2641931249999985,516,257,773
0.30519729100000603,516,257,773
0.2839816250000027,516,257,773
0.31534041600000506,516,257,773
0.300078292000002,516,257,773
0.31497558300000605,516,257,773
0.2870187920000049,516,257,773
0.39844858299999686,516,257,773
0.40101841699999596,516,257,773
0.37026441700000134,516,257,773
0.3221775000000022,516,257,773
0.3090270410000002,516,257,773
0.37860104199999967,516,257,773
1.9100550420000033,516,257,773
0.3130964160000005,516,257,773
0.37629012499999703,516,257,773
0.2813268329999943,516,257,773
