time,callstack,stack,total
0.09264158400000078,68,33,101
0.08111854199999868,68,33,101
0.07185829199999993,68,33,101
0.08681270800000007,68,33,101
0.08759600000000134,68,33,101
0.10820091699999956,68,33,101
0.06714374999999961,68,33,101
0.07337733299999982,68,33,101
0.09086841699999937,68,33,101
0.2084534999999974,68,33,101
0.06412925000000058,68,33,101
0.05833475000000021,68,33,101
0.1493897089999976,68,33,101
0.1105502499999993,68,33,101
0.07755254199999939,68,33,101
0.21036108300000222,68,33,101
0.20944929099999854,68,33,101
0.057426624999997955,68,33,101
0.21731037500000028,68,33,101
0.10081733399999848,68,33,101
0.2398830839999988,68,33,101
0.24682279199999968,68,33,101
0.06962570899999676,68,33,101
0.04870970800000052,68,33,101
0.06300550000000271,68,33,101
0.08552954199999974,68,33,101
0.06503712499999992,68,33,101
0.056659874999997584,68,33,101
0.06921683399999878,68,33,101
0.059198334000001296,68,33,101
