time,callstack,stack,total_bytes
0.08761162499999386,132,65,13214
0.08149679200001003,132,65,13214
0.17220958400000086,132,65,13214
0.18365883299999552,132,65,13214
0.2949349579999989,132,65,13214
0.17786716599999863,132,65,13214
0.17077254099999095,132,65,13214
0.19614754200000561,132,65,13214
0.06950266699999474,132,65,13214
0.125745957999996,132,65,13214
0.09313504200000011,132,65,13214
0.07559045899999717,132,65,13214
0.08360150000000033,132,65,13214
0.07674816699999099,132,65,13214
0.07649258299998962,132,65,13214
0.07711758399999269,132,65,13214
0.0739948749999968,132,65,13214
0.08014837499999317,132,65,13214
0.08991637500000138,132,65,13214
0.07766454199999373,132,65,13214
0.18513004200001149,132,65,13214
0.19407591699999216,132,65,13214
0.1763191669999884,132,65,13214
0.18194745799999623,132,65,13214
0.1913492500000018,132,65,13214
0.07436258399999929,132,65,13214
0.09506891699999187,132,65,13214
0.07939316600000268,132,65,13214
0.07913945800000022,132,65,13214
0.0787501670000097,132,65,13214
