time,callstack,stack,total
0.2709277079999999,12,5,17
0.02277841700000005,12,5,17
0.024521916999999505,12,5,17
0.03190766700000047,12,5,17
0.0249338339999996,12,5,17
0.16479379100000013,12,5,17
0.037196416000000454,12,5,17
0.040205833999999996,12,5,17
0.026019750000000563,12,5,17
0.1331259169999992,12,5,17
0.1399693339999999,12,5,17
0.1319227499999993,12,5,17
0.12950329200000077,12,5,17
0.13384316699999843,12,5,17
0.025099833000000515,12,5,17
0.02794337499999955,12,5,17
0.043250000000000455,12,5,17
0.033098834000000465,12,5,17
0.02295620800000009,12,5,17
0.03404179099999993,12,5,17
0.032669791000000004,12,5,17
0.032228041999999846,12,5,17
0.0353884579999999,12,5,17
0.02599991700000004,12,5,17
0.04506200000000149,12,5,17
0.030377833999999382,12,5,17
0.02595583399999768,12,5,17
0.03292570900000058,12,5,17
0.05977825000000081,12,5,17
0.02400079199999894,12,5,17
