time,callstack,stack,total
0.036411249999993345,12,5,17
0.08542841599999917,12,5,17
0.031833124999998574,12,5,17
0.036491665999996314,12,5,17
0.028612416999997947,12,5,17
0.03258608299999821,12,5,17
0.03984758299999669,12,5,17
0.0295172919999942,12,5,17
0.04020945799999964,12,5,17
0.03399399999999986,12,5,17
0.040559500000000526,12,5,17
0.025339708999993604,12,5,17
0.0249292080000032,12,5,17
0.02229416699999831,12,5,17
0.022548666000005824,12,5,17
0.030804916999997545,12,5,17
0.026219416000003548,12,5,17
0.027668208999998,12,5,17
0.027090999999998644,12,5,17
0.025761750000000916,12,5,17
0.02855325000000164,12,5,17
0.03275949999999739,12,5,17
0.020228625000001443,12,5,17
0.021506500000000983,12,5,17
0.0396479579999891,12,5,17
0.04142733299998724,12,5,17
0.03386150000000043,12,5,17
0.02192850000000135,12,5,17
0.033291375000004564,12,5,17
0.03386033400001054,12,5,17
